FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
40017,OK,"Canadian County, Oklahoma",12%,14740
40019,OK,"Carter County, Oklahoma",16.3%,7850
40021,OK,"Cherokee County, Oklahoma",18%,8610
40023,OK,"Choctaw County, Oklahoma",21.7%,3290
40025,OK,"Cimarron County, Oklahoma",12.7%,300
40027,OK,"Cleveland County, Oklahoma",14.8%,39190
40029,OK,"Coal County, Oklahoma",17.9%,1050
40031,OK,"Comanche County, Oklahoma",18.6%,23390
40033,OK,"Cotton County, Oklahoma",15%,930
40035,OK,"Craig County, Oklahoma",16.4%,2430
40037,OK,"Creek County, Oklahoma",15.5%,10970
40039,OK,"Custer County, Oklahoma",14.6%,4150
40041,OK,"Delaware County, Oklahoma",16.9%,6980
40043,OK,"Dewey County, Oklahoma",13.8%,660
40045,OK,"Ellis County, Oklahoma",13.4%,550
40047,OK,"Garfield County, Oklahoma",14.5%,8930
40049,OK,"Garvin County, Oklahoma",15.9%,4370
40051,OK,"Grady County, Oklahoma",14.2%,7550
40053,OK,"Grant County, Oklahoma",12.9%,580
40055,OK,"Greer County, Oklahoma",15.8%,970
40057,OK,"Harmon County, Oklahoma",14.8%,430
40059,OK,"Harper County, Oklahoma",11.3%,420
40061,OK,"Haskell County, Oklahoma",17.5%,2250
40063,OK,"Hughes County, Oklahoma",18.2%,2520
40065,OK,"Jackson County, Oklahoma",15%,3950
40067,OK,"Jefferson County, Oklahoma",15.8%,1010
40069,OK,"Johnston County, Oklahoma",17.8%,1970
40071,OK,"Kay County, Oklahoma",16.5%,7550
40073,OK,"Kingfisher County, Oklahoma",10.6%,1610
40075,OK,"Kiowa County, Oklahoma",17.1%,1600
40077,OK,"Latimer County, Oklahoma",18%,1970
40079,OK,"Le Flore County, Oklahoma",17.9%,8950
40081,OK,"Lincoln County, Oklahoma",15.2%,5220
40083,OK,"Logan County, Oklahoma",14.4%,6310
40085,OK,"Love County, Oklahoma",13.3%,1270
40087,OK,"McClain County, Oklahoma",12.3%,4420
40089,OK,"McCurtain County, Oklahoma",20.3%,6750
40091,OK,"McIntosh County, Oklahoma",18.8%,3830
40093,OK,"Major County, Oklahoma",12.9%,990
40095,OK,"Marshall County, Oklahoma",13.7%,2180
40097,OK,"Mayes County, Oklahoma",16.4%,6750
40099,OK,"Murray County, Oklahoma",15.4%,2100
40101,OK,"Muskogee County, Oklahoma",18.9%,13350
40103,OK,"Noble County, Oklahoma",14.7%,1690
40105,OK,"Nowata County, Oklahoma",16.2%,1710
40107,OK,"Okfuskee County, Oklahoma",19.2%,2360
40109,OK,"Oklahoma County, Oklahoma",17.1%,127310
40111,OK,"Okmulgee County, Oklahoma",18.9%,7490
40113,OK,"Osage County, Oklahoma",16.7%,8020
40115,OK,"Ottawa County, Oklahoma",17.9%,5740
40117,OK,"Pawnee County, Oklahoma",15.5%,2560
40119,OK,"Payne County, Oklahoma",19.5%,15350
40121,OK,"Pittsburg County, Oklahoma",17.4%,7850
40123,OK,"Pontotoc County, Oklahoma",16.9%,6410
40125,OK,"Pottawatomie County, Oklahoma",16.5%,11660
40127,OK,"Pushmataha County, Oklahoma",18.8%,2130
40129,OK,"Roger Mills County, Oklahoma",13.4%,500
40131,OK,"Rogers County, Oklahoma",13%,11500
40133,OK,"Seminole County, Oklahoma",18.6%,4730
40135,OK,"Sequoyah County, Oklahoma",18.6%,7760
40137,OK,"Stephens County, Oklahoma",15.4%,6900
40139,OK,"Texas County, Oklahoma",9.1%,1970
40141,OK,"Tillman County, Oklahoma",15%,1170
40143,OK,"Tulsa County, Oklahoma",16.5%,101960
40145,OK,"Wagoner County, Oklahoma",13.4%,10000
40147,OK,"Washington County, Oklahoma",14.8%,7620
40149,OK,"Washita County, Oklahoma",14%,1630
40151,OK,"Woods County, Oklahoma",14.7%,1320
40153,OK,"Woodward County, Oklahoma",13%,2700
41001,OR,"Baker County, Oregon",16.8%,2700
41003,OR,"Benton County, Oregon",16.1%,13880
41005,OR,"Clackamas County, Oregon",12.5%,48240
41007,OR,"Clatsop County, Oregon",15%,5570
41009,OR,"Columbia County, Oregon",14.5%,7150
41011,OR,"Coos County, Oregon",17%,10650
41013,OR,"Crook County, Oregon",17.4%,3630
41015,OR,"Curry County, Oregon",17%,3800
41017,OR,"Deschutes County, Oregon",15.2%,24730
41019,OR,"Douglas County, Oregon",17%,18260
41021,OR,"Gilliam County, Oregon",14.4%,280
41023,OR,"Grant County, Oregon",16.9%,1240
41025,OR,"Harney County, Oregon",17.9%,1300
41027,OR,"Hood River County, Oregon",10.4%,2350
41029,OR,"Jackson County, Oregon",16%,32990
41031,OR,"Jefferson County, Oregon",14.9%,3260
41033,OR,"Josephine County, Oregon",17.3%,14360
41035,OR,"Klamath County, Oregon",16.5%,10890
41037,OR,"Lake County, Oregon",17.3%,1360
41039,OR,"Lane County, Oregon",16.5%,58660
41041,OR,"Lincoln County, Oregon",15.7%,7250
41043,OR,"Linn County, Oregon",16.2%,19110
41045,OR,"Malheur County, Oregon",14.9%,4580
41047,OR,"Marion County, Oregon",13.7%,44050
41049,OR,"Morrow County, Oregon",11%,1230
41051,OR,"Multnomah County, Oregon",16.1%,121970
41053,OR,"Polk County, Oregon",14.2%,10860
41055,OR,"Sherman County, Oregon",16.3%,290
41057,OR,"Tillamook County, Oregon",14.4%,3650
41059,OR,"Umatilla County, Oregon",13.4%,10250
41061,OR,"Union County, Oregon",16.4%,4220
41063,OR,"Wallowa County, Oregon",16.7%,1150
41065,OR,"Wasco County, Oregon",13.9%,3520
41067,OR,"Washington County, Oregon",12.3%,67440
41069,OR,"Wheeler County, Oregon",15.3%,210
41071,OR,"Yamhill County, Oregon",13.3%,13400
42001,PA,"Adams County, Pennsylvania",9.5%,9700
42003,PA,"Allegheny County, Pennsylvania",14.2%,174110
42005,PA,"Armstrong County, Pennsylvania",12.5%,8510
42007,PA,"Beaver County, Pennsylvania",13.1%,22310
42009,PA,"Bedford County, Pennsylvania",12.1%,5970
42011,PA,"Berks County, Pennsylvania",10.3%,42590
42013,PA,"Blair County, Pennsylvania",12.8%,16170
42015,PA,"Bradford County, Pennsylvania",11.7%,7330
42017,PA,"Bucks County, Pennsylvania",9.2%,57320
42019,PA,"Butler County, Pennsylvania",10.4%,19280
42021,PA,"Cambria County, Pennsylvania",13.6%,19190
42023,PA,"Cameron County, Pennsylvania",13.4%,660
42025,PA,"Carbon County, Pennsylvania",11.6%,7510
42027,PA,"Centre County, Pennsylvania",14%,21830
42029,PA,"Chester County, Pennsylvania",8.6%,43650
42031,PA,"Clarion County, Pennsylvania",14%,5540
42033,PA,"Clearfield County, Pennsylvania",13%,10600
42035,PA,"Clinton County, Pennsylvania",14%,5560
42037,PA,"Columbia County, Pennsylvania",13.1%,8790
42039,PA,"Crawford County, Pennsylvania",12.8%,11280
42041,PA,"Cumberland County, Pennsylvania",10.7%,25600
42043,PA,"Dauphin County, Pennsylvania",14.1%,38010
42045,PA,"Delaware County, Pennsylvania",13.6%,76080
42047,PA,"Elk County, Pennsylvania",10.8%,3420
42049,PA,"Erie County, Pennsylvania",14.4%,40240
42051,PA,"Fayette County, Pennsylvania",15.2%,20640
42053,PA,"Forest County, Pennsylvania",15.5%,1180
42055,PA,"Franklin County, Pennsylvania",11.4%,17310
42057,PA,"Fulton County, Pennsylvania",12%,1780
42059,PA,"Greene County, Pennsylvania",12.9%,4920
42061,PA,"Huntingdon County, Pennsylvania",13.7%,6270
42063,PA,"Indiana County, Pennsylvania",13.5%,11920
42065,PA,"Jefferson County, Pennsylvania",12.9%,5790
42067,PA,"Juniata County, Pennsylvania",11.3%,2800
42069,PA,"Lackawanna County, Pennsylvania",13.2%,28350
42071,PA,"Lancaster County, Pennsylvania",10.5%,55260
42073,PA,"Lawrence County, Pennsylvania",13.2%,11870
42075,PA,"Lebanon County, Pennsylvania",10.1%,13630
42077,PA,"Lehigh County, Pennsylvania",10.7%,37970
42079,PA,"Luzerne County, Pennsylvania",13.6%,43640
42081,PA,"Lycoming County, Pennsylvania",13.6%,15880
42083,PA,"McKean County, Pennsylvania",13.4%,5750
42085,PA,"Mercer County, Pennsylvania",13.2%,15260
42087,PA,"Mifflin County, Pennsylvania",13.2%,6180
42089,PA,"Monroe County, Pennsylvania",11.7%,19710
42091,PA,"Montgomery County, Pennsylvania",10%,80710
42093,PA,"Montour County, Pennsylvania",11%,2030
42095,PA,"Northampton County, Pennsylvania",10.5%,31510
42097,PA,"Northumberland County, Pennsylvania",13.2%,12470
42099,PA,"Perry County, Pennsylvania",10.2%,4690
42101,PA,"Philadelphia County, Pennsylvania",21.7%,335560
42103,PA,"Pike County, Pennsylvania",10.2%,5810
42105,PA,"Potter County, Pennsylvania",12.9%,2250
42107,PA,"Schuylkill County, Pennsylvania",12.8%,18770
42109,PA,"Snyder County, Pennsylvania",11.1%,4440
42111,PA,"Somerset County, Pennsylvania",12.7%,9820
42113,PA,"Sullivan County, Pennsylvania",12.1%,770
42115,PA,"Susquehanna County, Pennsylvania",11.6%,4940
42117,PA,"Tioga County, Pennsylvania",13%,5510
42119,PA,"Union County, Pennsylvania",11.8%,5300
42121,PA,"Venango County, Pennsylvania",12.6%,6860
42123,PA,"Warren County, Pennsylvania",11.6%,4780
42125,PA,"Washington County, Pennsylvania",11.5%,23960
42127,PA,"Wayne County, Pennsylvania",11.7%,6090
42129,PA,"Westmoreland County, Pennsylvania",11.6%,41970
42131,PA,"Wyoming County, Pennsylvania",11.7%,3300
42133,PA,"York County, Pennsylvania",10.9%,47670
44001,RI,"Bristol County, Rhode Island",11.1%,5490
44003,RI,"Kent County, Rhode Island",12.1%,20020
44005,RI,"Newport County, Rhode Island",12.5%,10320
44007,RI,"Providence County, Rhode Island",15.1%,95050
44009,RI,"Washington County, Rhode Island",11.5%,14590
45001,SC,"Abbeville County, South Carolina",17.1%,4300
45003,SC,"Aiken County, South Carolina",14.6%,23840
45005,SC,"Allendale County, South Carolina",27.9%,2800
45007,SC,"Anderson County, South Carolina",13.6%,25880
45009,SC,"Bamberg County, South Carolina",23.9%,3750
45011,SC,"Barnwell County, South Carolina",21.2%,4730
45013,SC,"Beaufort County, South Carolina",11.6%,19460
45015,SC,"Berkeley County, South Carolina",13.9%,26250
45017,SC,"Calhoun County, South Carolina",17.6%,2640
45019,SC,"Charleston County, South Carolina",15.6%,56920
45021,SC,"Cherokee County, South Carolina",17.1%,9520
45023,SC,"Chester County, South Carolina",20%,6530
45025,SC,"Chesterfield County, South Carolina",18.4%,8520
45027,SC,"Clarendon County, South Carolina",21%,7240
45029,SC,"Colleton County, South Carolina",18.2%,6970
45031,SC,"Darlington County, South Carolina",19.9%,13530
45033,SC,"Dillon County, South Carolina",23.2%,7300
45035,SC,"Dorchester County, South Carolina",13.5%,19330
45037,SC,"Edgefield County, South Carolina",15.7%,4190
45039,SC,"Fairfield County, South Carolina",22.1%,5180
45041,SC,"Florence County, South Carolina",18.9%,26070
45043,SC,"Georgetown County, South Carolina",17.1%,10350
45045,SC,"Greenville County, South Carolina",12.9%,60320
45047,SC,"Greenwood County, South Carolina",17.9%,12470
45049,SC,"Hampton County, South Carolina",19.8%,4100
45051,SC,"Horry County, South Carolina",14.3%,40440
45053,SC,"Jasper County, South Carolina",16.7%,4340
45055,SC,"Kershaw County, South Carolina",14.3%,8930
45057,SC,"Lancaster County, South Carolina",15.2%,12080
45059,SC,"Laurens County, South Carolina",16.1%,10670
45061,SC,"Lee County, South Carolina",23%,4310
45063,SC,"Lexington County, South Carolina",11.6%,31350
45065,SC,"McCormick County, South Carolina",19.2%,1920
45067,SC,"Marion County, South Carolina",24.1%,7810
45069,SC,"Marlboro County, South Carolina",23.9%,6770
45071,SC,"Newberry County, South Carolina",14.7%,5510
45073,SC,"Oconee County, South Carolina",12.6%,9440
45075,SC,"Orangeburg County, South Carolina",24.2%,22130
45077,SC,"Pickens County, South Carolina",13.4%,15960
45079,SC,"Richland County, South Carolina",18.3%,71900
45081,SC,"Saluda County, South Carolina",14.1%,2820
45083,SC,"Spartanburg County, South Carolina",14.5%,42010
45085,SC,"Sumter County, South Carolina",19.2%,20690
45087,SC,"Union County, South Carolina",17.8%,5050
45089,SC,"Williamsburg County, South Carolina",24.3%,8150
45091,SC,"York County, South Carolina",13.4%,31490
46003,SD,"Aurora County, South Dakota",9%,250
46005,SD,"Beadle County, South Dakota",12.7%,2270
46007,SD,"Bennett County, South Dakota",19%,650
46009,SD,"Bon Homme County, South Dakota",10.4%,730
46011,SD,"Brookings County, South Dakota",13.6%,4450
46013,SD,"Brown County, South Dakota",11%,4140
46015,SD,"Brule County, South Dakota",12.2%,650
46017,SD,"Buffalo County, South Dakota",21.6%,440
46019,SD,"Butte County, South Dakota",11.2%,1150
46021,SD,"Campbell County, South Dakota",11%,160
46023,SD,"Charles Mix County, South Dakota",14.1%,1300
46025,SD,"Clark County, South Dakota",11.8%,430
46027,SD,"Clay County, South Dakota",16.8%,2350
46029,SD,"Codington County, South Dakota",11.5%,3190
46031,SD,"Corson County, South Dakota",21.1%,870
46033,SD,"Custer County, South Dakota",10.5%,870
46035,SD,"Davison County, South Dakota",12%,2370
46037,SD,"Day County, South Dakota",14.6%,830
46039,SD,"Deuel County, South Dakota",9.9%,430
46041,SD,"Dewey County, South Dakota",22.3%,1230
46043,SD,"Douglas County, South Dakota",10.8%,320
46045,SD,"Edmunds County, South Dakota",10%,400
46047,SD,"Fall River County, South Dakota",13.8%,960
46049,SD,"Faulk County, South Dakota",11%,260
46051,SD,"Grant County, South Dakota",10.2%,750
46053,SD,"Gregory County, South Dakota",13.4%,570
46055,SD,"Haakon County, South Dakota",11.1%,230
46057,SD,"Hamlin County, South Dakota",9.6%,570
46059,SD,"Hand County, South Dakota",10.8%,360
46061,SD,"Hanson County, South Dakota",10.5%,360
46063,SD,"Harding County, South Dakota",12.1%,150
46065,SD,"Hughes County, South Dakota",11.2%,1950
46067,SD,"Hutchinson County, South Dakota",11%,800
46069,SD,"Hyde County, South Dakota",9.2%,130
46071,SD,"Jackson County, South Dakota",16.6%,530
46073,SD,"Jerauld County, South Dakota",10.2%,210
46075,SD,"Jones County, South Dakota",11.7%,90
46077,SD,"Kingsbury County, South Dakota",10.2%,530
46079,SD,"Lake County, South Dakota",11.9%,1410
46081,SD,"Lawrence County, South Dakota",12.5%,3070
46083,SD,"Lincoln County, South Dakota",8.3%,4020
46085,SD,"Lyman County, South Dakota",13.8%,530
46087,SD,"McCook County, South Dakota",9.1%,510
46089,SD,"McPherson County, South Dakota",13.1%,310
46091,SD,"Marshall County, South Dakota",11.4%,530
46093,SD,"Meade County, South Dakota",10.9%,2840
46095,SD,"Mellette County, South Dakota",18.2%,380
46097,SD,"Miner County, South Dakota",10.5%,250
46099,SD,"Minnehaha County, South Dakota",12.1%,21260
46101,SD,"Moody County, South Dakota",12.2%,790
46103,SD,"Pennington County, South Dakota",11.9%,12480
46105,SD,"Perkins County, South Dakota",12.2%,370
46107,SD,"Potter County, South Dakota",10.7%,250
46109,SD,"Roberts County, South Dakota",14.2%,1460
46111,SD,"Sanborn County, South Dakota",10.9%,250
46113,SD,"Shannon County, South Dakota",26.2%,3670
46115,SD,"Spink County, South Dakota",11.4%,740
46117,SD,"Stanley County, South Dakota",9.7%,290
46119,SD,"Sully County, South Dakota",9.1%,130
46121,SD,"Todd County, South Dakota",23.4%,2310
46123,SD,"Tripp County, South Dakota",14.5%,800
46125,SD,"Turner County, South Dakota",10.1%,840
46127,SD,"Union County, South Dakota",9.4%,1390
46129,SD,"Walworth County, South Dakota",13.6%,750
46135,SD,"Yankton County, South Dakota",11.6%,2620
46137,SD,"Ziebach County, South Dakota",20.2%,570
47001,TN,"Anderson County, Tennessee",14.7%,11050
47003,TN,"Bedford County, Tennessee",14.8%,6760
47005,TN,"Benton County, Tennessee",16%,2610
47007,TN,"Bledsoe County, Tennessee",15.9%,2110
47009,TN,"Blount County, Tennessee",13%,16150
47011,TN,"Bradley County, Tennessee",14.7%,14840
47013,TN,"Campbell County, Tennessee",16.8%,6790
47015,TN,"Cannon County, Tennessee",13.7%,1890
47017,TN,"Carroll County, Tennessee",17.2%,4900
47019,TN,"Carter County, Tennessee",16.2%,9260
47021,TN,"Cheatham County, Tennessee",11.7%,4600
47023,TN,"Chester County, Tennessee",15.7%,2720
47025,TN,"Claiborne County, Tennessee",16.6%,5290
47027,TN,"Clay County, Tennessee",16.3%,1270
47029,TN,"Cocke County, Tennessee",17.8%,6320
47031,TN,"Coffee County, Tennessee",15.1%,8030
47033,TN,"Crockett County, Tennessee",15.8%,2310
47035,TN,"Cumberland County, Tennessee",13.7%,7830
47037,TN,"Davidson County, Tennessee",17.3%,112050
47039,TN,"Decatur County, Tennessee",16%,1870
47041,TN,"DeKalb County, Tennessee",14.5%,2750
47043,TN,"Dickson County, Tennessee",13.5%,6760
47045,TN,"Dyer County, Tennessee",17.2%,6540
47047,TN,"Fayette County, Tennessee",15.9%,6140
47049,TN,"Fentress County, Tennessee",16%,2870
47051,TN,"Franklin County, Tennessee",13.3%,5480
47053,TN,"Gibson County, Tennessee",17.9%,8870
47055,TN,"Giles County, Tennessee",15.2%,4430
47057,TN,"Grainger County, Tennessee",14.6%,3320
47059,TN,"Greene County, Tennessee",16%,11000
47061,TN,"Grundy County, Tennessee",17.6%,2380
47063,TN,"Hamblen County, Tennessee",14.7%,9260
47065,TN,"Hamilton County, Tennessee",16.1%,55480
47067,TN,"Hancock County, Tennessee",18%,1210
47069,TN,"Hardeman County, Tennessee",22.5%,5970
47071,TN,"Hardin County, Tennessee",16.3%,4240
47073,TN,"Hawkins County, Tennessee",14.2%,8050
47075,TN,"Haywood County, Tennessee",23.9%,4390
47077,TN,"Henderson County, Tennessee",16.4%,4580
47079,TN,"Henry County, Tennessee",16.2%,5220
47081,TN,"Hickman County, Tennessee",14.3%,3470
47083,TN,"Houston County, Tennessee",16.7%,1400
47085,TN,"Humphreys County, Tennessee",14.3%,2620
47087,TN,"Jackson County, Tennessee",15.9%,1830
47089,TN,"Jefferson County, Tennessee",14.2%,7420
47091,TN,"Johnson County, Tennessee",15.2%,2750
47093,TN,"Knox County, Tennessee",14.4%,63660
47095,TN,"Lake County, Tennessee",22.4%,1730
47097,TN,"Lauderdale County, Tennessee",22.8%,6300
47099,TN,"Lawrence County, Tennessee",15.2%,6410
47101,TN,"Lewis County, Tennessee",15.3%,1840
47103,TN,"Lincoln County, Tennessee",13.4%,4470
47105,TN,"Loudon County, Tennessee",12.2%,6070
47107,TN,"McMinn County, Tennessee",14.8%,7730
47109,TN,"McNairy County, Tennessee",17.9%,4680
47111,TN,"Macon County, Tennessee",14.5%,3270
47113,TN,"Madison County, Tennessee",19.5%,19220
47115,TN,"Marion County, Tennessee",15.2%,4300
47117,TN,"Marshall County, Tennessee",13.7%,4250
47119,TN,"Maury County, Tennessee",14.6%,12050
47121,TN,"Meigs County, Tennessee",15.9%,1860
47123,TN,"Monroe County, Tennessee",14.8%,6640
47125,TN,"Montgomery County, Tennessee",16.1%,29310
47127,TN,"Moore County, Tennessee",11.6%,740
47129,TN,"Morgan County, Tennessee",15.7%,3430
47131,TN,"Obion County, Tennessee",17.3%,5410
47133,TN,"Overton County, Tennessee",15.2%,3370
47135,TN,"Perry County, Tennessee",16.2%,1270
47137,TN,"Pickett County, Tennessee",14.6%,750
47139,TN,"Polk County, Tennessee",14.2%,2370
47141,TN,"Putnam County, Tennessee",16.4%,12040
47143,TN,"Rhea County, Tennessee",16.3%,5250
47145,TN,"Roane County, Tennessee",14.6%,7820
47147,TN,"Robertson County, Tennessee",12%,8040
47149,TN,"Rutherford County, Tennessee",13.5%,37250
47151,TN,"Scott County, Tennessee",18.7%,4130
47153,TN,"Sequatchie County, Tennessee",13.8%,2000
47155,TN,"Sevier County, Tennessee",14%,12990
47157,TN,"Shelby County, Tennessee",22.4%,209720
47159,TN,"Smith County, Tennessee",13.3%,2540
47161,TN,"Stewart County, Tennessee",14.8%,1980
47163,TN,"Sullivan County, Tennessee",14.2%,22350
47165,TN,"Sumner County, Tennessee",12%,19940
47167,TN,"Tipton County, Tennessee",15.7%,9660
47169,TN,"Trousdale County, Tennessee",15.3%,1200
47171,TN,"Unicoi County, Tennessee",15.5%,2810
47173,TN,"Union County, Tennessee",14.9%,2850
47175,TN,"Van Buren County, Tennessee",15.2%,850
47177,TN,"Warren County, Tennessee",14.5%,5790
47179,TN,"Washington County, Tennessee",14.8%,18430
47181,TN,"Wayne County, Tennessee",15.8%,2670
47183,TN,"Weakley County, Tennessee",17.6%,6120
47185,TN,"White County, Tennessee",15.3%,4000
47187,TN,"Williamson County, Tennessee",8.2%,15940
47189,TN,"Wilson County, Tennessee",11.3%,13560
48001,TX,"Anderson County, Texas",20.1%,11690
48003,TX,"Andrews County, Texas",9.1%,1480
48005,TX,"Angelina County, Texas",20%,17500
48007,TX,"Aransas County, Texas",17.2%,4110
48009,TX,"Archer County, Texas",16%,1420
48011,TX,"Armstrong County, Texas",15.1%,290
48013,TX,"Atascosa County, Texas",9.8%,4530
48015,TX,"Austin County, Texas",15.3%,4400
48017,TX,"Bailey County, Texas",12.6%,890
48019,TX,"Bandera County, Texas",15.8%,3260
48021,TX,"Bastrop County, Texas",14.4%,10910
48023,TX,"Baylor County, Texas",18.3%,670
48025,TX,"Bee County, Texas",14.7%,4760
48027,TX,"Bell County, Texas",20.9%,67170
48029,TX,"Bexar County, Texas",13%,232740
48031,TX,"Blanco County, Texas",14.4%,1530
48033,TX,"Borden County, Texas",14.3%,100
48035,TX,"Bosque County, Texas",16.9%,3060
48037,TX,"Bowie County, Texas",23.7%,22090
48039,TX,"Brazoria County, Texas",15.2%,49440
48041,TX,"Brazos County, Texas",22.2%,44720
48043,TX,"Brewster County, Texas",14.4%,1330
48045,TX,"Briscoe County, Texas",15.8%,250
48047,TX,"Brooks County, Texas",12.1%,870
48049,TX,"Brown County, Texas",18.1%,6860
48051,TX,"Burleson County, Texas",17%,2920
48053,TX,"Burnet County, Texas",16.2%,7120
48055,TX,"Caldwell County, Texas",14.2%,5530
48057,TX,"Calhoun County, Texas",13.5%,2910
48059,TX,"Callahan County, Texas",17.8%,2410
48061,TX,"Cameron County, Texas",12.1%,50310
48063,TX,"Camp County, Texas",20.6%,2560
48065,TX,"Carson County, Texas",13.5%,830
48067,TX,"Cass County, Texas",23.5%,7140
48069,TX,"Castro County, Texas",10.9%,880
48071,TX,"Chambers County, Texas",15.2%,5540
48073,TX,"Cherokee County, Texas",20.3%,10340
48075,TX,"Childress County, Texas",18%,1270
48077,TX,"Clay County, Texas",17%,1800
48079,TX,"Cochran County, Texas",11.2%,340
48081,TX,"Coke County, Texas",15.8%,510
48083,TX,"Coleman County, Texas",19.6%,1700
48085,TX,"Collin County, Texas",16.1%,135070
48087,TX,"Collingsworth County, Texas",14.8%,450
48089,TX,"Colorado County, Texas",16.3%,3390
48091,TX,"Comal County, Texas",13.8%,15950
48093,TX,"Comanche County, Texas",17.3%,2380
48095,TX,"Concho County, Texas",9%,370
48097,TX,"Cooke County, Texas",16.8%,6470
48099,TX,"Coryell County, Texas",20.6%,15750
48101,TX,"Cottle County, Texas",18.9%,300
48103,TX,"Crane County, Texas",9.3%,430
48105,TX,"Crockett County, Texas",9.4%,360
48107,TX,"Crosby County, Texas",14.2%,860
48109,TX,"Culberson County, Texas",9.9%,230
48111,TX,"Dallam County, Texas",13.9%,970
48113,TX,"Dallas County, Texas",19.3%,473680
48115,TX,"Dawson County, Texas",13.1%,1780
48117,TX,"Deaf Smith County, Texas",9.8%,1890
48119,TX,"Delta County, Texas",20.5%,1070
48121,TX,"Denton County, Texas",16.3%,115480
48123,TX,"DeWitt County, Texas",14.1%,2880
48125,TX,"Dickens County, Texas",17.1%,400
48127,TX,"Dimmit County, Texas",7.1%,750
48129,TX,"Donley County, Texas",18.3%,670
48131,TX,"Duval County, Texas",8.4%,980
48133,TX,"Eastland County, Texas",18.7%,3440
48135,TX,"Ector County, Texas",11.2%,16290
48137,TX,"Edwards County, Texas",10.3%,210
48139,TX,"Ellis County, Texas",15.8%,24410
48141,TX,"El Paso County, Texas",11%,90730
48143,TX,"Erath County, Texas",19.3%,7600
48145,TX,"Falls County, Texas",21.1%,3700
48147,TX,"Fannin County, Texas",19.4%,6540
48149,TX,"Fayette County, Texas",15.4%,3820
48151,TX,"Fisher County, Texas",15.4%,600
48153,TX,"Floyd County, Texas",14.6%,910
48155,TX,"Foard County, Texas",16.1%,190
48157,TX,"Fort Bend County, Texas",15%,95220
48159,TX,"Franklin County, Texas",17.6%,1870
48161,TX,"Freestone County, Texas",19.7%,3860
48163,TX,"Frio County, Texas",9.1%,1620
48165,TX,"Gaines County, Texas",12%,2210
48167,TX,"Galveston County, Texas",17.7%,53460
48169,TX,"Garza County, Texas",10.4%,660
48171,TX,"Gillespie County, Texas",14.9%,3740
48173,TX,"Glasscock County, Texas",11.4%,140
48175,TX,"Goliad County, Texas",13%,960
48177,TX,"Gonzales County, Texas",13.8%,2780
48179,TX,"Gray County, Texas",15.5%,3520
48181,TX,"Grayson County, Texas",19%,23160
48183,TX,"Gregg County, Texas",21.1%,25870
48185,TX,"Grimes County, Texas",18.2%,4890
48187,TX,"Guadalupe County, Texas",12.5%,17450
48189,TX,"Hale County, Texas",16.4%,5890
48191,TX,"Hall County, Texas",18.4%,600
48193,TX,"Hamilton County, Texas",17.3%,1440
48195,TX,"Hansford County, Texas",11.6%,640
48197,TX,"Hardeman County, Texas",19.3%,780
48199,TX,"Hardin County, Texas",18.7%,10350
48201,TX,"Harris County, Texas",17.5%,749260
48203,TX,"Harrison County, Texas",20.7%,13860
48205,TX,"Hartley County, Texas",14.5%,880
48207,TX,"Haskell County, Texas",16.5%,970
48209,TX,"Hays County, Texas",14.7%,25120
48211,TX,"Hemphill County, Texas",12.1%,490
48213,TX,"Henderson County, Texas",19.5%,15390
48215,TX,"Hidalgo County, Texas",11.8%,94970
48217,TX,"Hill County, Texas",18.6%,6500
48219,TX,"Hockley County, Texas",12.6%,2930
48221,TX,"Hood County, Texas",16.5%,8650
48223,TX,"Hopkins County, Texas",18.9%,6720
48225,TX,"Houston County, Texas",23.2%,5370
48227,TX,"Howard County, Texas",14.5%,5180
48229,TX,"Hudspeth County, Texas",12.6%,420
48231,TX,"Hunt County, Texas",20%,17440
48233,TX,"Hutchinson County, Texas",16%,3510
48235,TX,"Irion County, Texas",13.3%,220
48237,TX,"Jack County, Texas",17.4%,1560
48239,TX,"Jackson County, Texas",14.7%,2100
48241,TX,"Jasper County, Texas",22.4%,8030
48243,TX,"Jeff Davis County, Texas",11.5%,260
48245,TX,"Jefferson County, Texas",24.7%,62370
48247,TX,"Jim Hogg County, Texas",6.1%,320
48249,TX,"Jim Wells County, Texas",8.8%,3630
48251,TX,"Johnson County, Texas",15.9%,24430
48253,TX,"Jones County, Texas",17.6%,3540
48255,TX,"Karnes County, Texas",13.2%,1960
48257,TX,"Kaufman County, Texas",16.8%,18010
48259,TX,"Kendall County, Texas",13.8%,4980
48261,TX,"Kenedy County, Texas",14.1%,70
48263,TX,"Kent County, Texas",15.3%,130
48265,TX,"Kerr County, Texas",16%,8000
48267,TX,"Kimble County, Texas",16%,720
48269,TX,"King County, Texas",17.9%,50
48271,TX,"Kinney County, Texas",12.5%,450
48273,TX,"Kleberg County, Texas",13.6%,4360
48275,TX,"Knox County, Texas",16.2%,610
48277,TX,"Lamar County, Texas",22.3%,11070
48279,TX,"Lamb County, Texas",14.3%,1990
48281,TX,"Lampasas County, Texas",17.2%,3440
48283,TX,"La Salle County, Texas",6.9%,480
48285,TX,"Lavaca County, Texas",15.8%,3070
48287,TX,"Lee County, Texas",16.4%,2730
48289,TX,"Leon County, Texas",16.9%,2830
