fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
16033,3.7,"48,726",80.1
16035,6.8,"49,816",81.9
16037,4.2,"49,055",80.6
16039,3.3,"47,796",78.6
16041,2.3,"55,421",91.1
16043,2.3,"56,162",92.3
16045,3.3,"53,733",88.3
16047,2.6,"50,205",82.5
16049,4.5,"48,866",80.3
16051,2.3,"63,078",103.7
16053,2.6,"56,320",92.6
16055,3.6,"62,764",103.2
16057,2.7,"54,999",90.4
16059,4.8,"46,062",75.7
16061,5.5,"45,342",74.5
16063,3.6,"50,608",83.2
16065,1.8,"46,177",75.9
16067,2.5,"56,173",92.3
16069,2.8,"67,645",111.2
16071,2.3,"55,833",91.8
16073,3.4,"48,395",79.6
16075,3.6,"53,643",88.2
16077,3.1,"50,981",83.8
16079,5.9,"39,239",64.5
16081,2.2,"73,637",121.1
16083,2.8,"56,141",92.3
16085,3.9,"64,041",105.3
16087,4.2,"45,813",75.3
17000,4,"69,212",100
17001,3.4,"55,942",80.8
17003,6.2,"37,408",54
17005,3.8,"53,447",77.2
17007,5.6,"72,426",104.6
17009,2.4,"60,254",87.1
17011,4.6,"57,935",83.7
17013,4.8,"63,373",91.6
17015,4.1,"56,468",81.6
17017,4.1,"51,011",73.7
17019,3.8,"53,485",77.3
17021,4.8,"51,573",74.5
17023,4.5,"58,323",84.3
17025,4.5,"49,377",71.3
17027,3.1,"67,201",97.1
17029,4,"50,467",72.9
17031,3.8,"69,375",100.2
17033,4.3,"50,352",72.8
17035,3.4,"53,991",78
17037,4.1,"64,676",93.4
17039,4.3,"59,521",86
17041,3.6,"64,283",92.9
17043,2.9,"96,354",139.2
17045,4.2,"51,333",74.2
17047,4.1,"54,930",79.4
17049,3.3,"58,943",85.2
17051,4.4,"48,913",70.7
17053,4.3,"55,369",80
17055,5.4,"43,695",63.1
17057,5.6,"50,461",72.9
17059,4.9,"46,515",67.2
17061,4.3,"52,116",75.3
17063,4.5,"83,135",120.1
17065,3.9,"51,031",73.7
17067,4.7,"53,724",77.6
17069,6.6,"44,573",64.4
17071,4.8,"55,535",80.2
17073,4.8,"61,680",89.1
17075,4.2,"51,542",74.5
17077,3.8,"37,308",53.9
17079,4.2,"59,980",86.7
17081,4.6,"50,531",73
17083,4.4,"63,351",91.5
17085,4.1,"62,522",90.3
17087,6,"55,022",79.5
17089,4.4,"84,311",121.8
17091,5,"60,763",87.8
17093,3.3,"105,586",152.6
17095,5,"43,404",62.7
17097,4.1,"92,638",133.8
17099,5.3,"59,528",86
17101,5.2,"47,114",68.1
17103,4,"57,619",83.3
17105,4.1,"54,422",78.6
17107,4.3,"53,806",77.7
17109,4.7,"49,048",70.9
17111,3.3,"89,379",129.1
17113,3.8,"69,230",100
17115,5.3,"52,259",75.5
17117,4.3,"54,174",78.3
17119,3.9,"66,591",96.2
17121,4.5,"52,291",75.6
17123,4.8,"63,628",91.9
17125,5.3,"51,967",75.1
17127,5.6,"54,159",78.3
17129,3.8,"77,306",111.7
17131,5,"62,241",89.9
17133,3.1,"90,904",131.3
17135,5.2,"51,665",74.6
17137,4,"55,937",80.8
17139,3.3,"65,472",94.6
17141,4.8,"63,565",91.8
17143,5.1,"57,717",83.4
17145,5.1,"56,880",82.2
17147,3.6,"72,265",104.4
17149,4.3,"54,309",78.5
17151,5.6,"46,478",67.2
17153,6.6,"38,506",55.6
17155,5,"74,367",107.4
17157,3.7,"58,444",84.4
17159,4.1,"49,775",71.9
17161,4.9,"57,772",83.5
17163,4.5,"57,726",83.4
17165,5.3,"48,547",70.1
17167,4,"61,768",89.2
17169,4.2,"56,015",80.9
17171,4.7,"61,231",88.5
17173,3.9,"61,376",88.7
17175,5.7,"54,804",79.2
17177,4.4,"51,786",74.8
17179,4.4,"66,206",95.7
17181,5.7,"51,575",74.5
17183,5.1,"46,295",66.9
17185,3.8,"54,249",78.4
17187,4.1,"53,621",77.5
17189,2.5,"64,297",92.9
17191,4.8,"51,829",74.9
17193,3.8,"51,388",74.2
17195,4.3,"50,880",73.5
17197,3.8,"90,249",130.4
17199,4.3,"56,958",82.3
17201,5.7,"59,510",86
