fips,fi_rate_18,ch_fi_rate_18,cpm_18
17065,10.2%,14.6%,US$2.74
17067,10%,15.9%,US$2.75
17069,15.4%,23.3%,US$2.65
17071,9.6%,15.4%,US$2.72
17073,9.7%,14.7%,US$2.66
17075,10.7%,15.5%,US$3.00
17077,14.7%,18.9%,US$2.89
17079,11.9%,16.8%,US$2.81
17081,13.8%,21.9%,US$2.73
17083,9.1%,13%,US$2.94
17085,9%,12.8%,US$3.19
17087,11.9%,18.2%,US$2.76
17089,7.1%,9.4%,US$3.02
17091,11.6%,15.7%,US$2.90
17093,4.8%,6.4%,US$2.86
17095,13.1%,18.9%,US$2.73
17097,6.9%,8.3%,US$3.29
17099,11%,16.5%,US$2.84
17101,13.6%,21.2%,US$2.84
17103,10%,13%,US$2.66
17105,11.2%,16%,US$2.74
17107,9.8%,14%,US$2.57
17109,12.3%,15.3%,US$2.75
17111,6.2%,8.3%,US$3.15
17113,9.2%,10.7%,US$3.00
17115,12.6%,19.1%,US$2.77
17117,10.9%,17.1%,US$3.16
17119,10.7%,14.9%,US$2.90
17121,13.2%,20.9%,US$2.92
17123,9.6%,15.7%,US$2.92
17125,12.8%,19.8%,US$2.85
17127,14.8%,22.1%,US$2.73
17129,9%,14.5%,US$2.90
17131,9.8%,15.6%,US$2.86
17133,5.9%,7.8%,US$3.29
17135,12.1%,20.2%,US$2.64
17137,11.8%,17.7%,US$2.62
17139,8.3%,12.5%,US$2.76
17141,9.1%,13.2%,US$2.79
17143,12%,16.3%,US$2.95
17145,13.3%,20.1%,US$2.93
17147,7.6%,11.1%,US$2.95
17149,11.3%,16%,US$2.77
17151,13.5%,21.5%,US$2.71
17153,16.7%,25.9%,US$2.78
17155,8.5%,14.8%,US$2.87
17157,10.7%,16%,US$2.62
17159,12.2%,16.3%,US$2.85
17161,11.2%,16.4%,US$2.80
17163,12.2%,17.1%,US$2.99
17165,16.3%,24.3%,US$2.60
17167,11.4%,16.7%,US$3.00
17169,14.6%,16.3%,US$2.79
17171,10.3%,16%,US$2.71
17173,9.5%,13.2%,US$2.97
17175,11.7%,20.3%,US$2.83
17177,11.6%,16.8%,US$2.89
17179,8.7%,12.7%,US$2.84
17181,13.7%,20.1%,US$2.83
17183,13.8%,21%,US$2.78
17185,10.9%,15.5%,US$2.83
17187,9.7%,13.5%,US$2.75
17189,7.7%,10.5%,US$2.88
17191,12.4%,19.4%,US$2.83
17193,11.6%,17.3%,US$2.81
17195,9.4%,13.6%,US$2.72
17197,6.1%,8.1%,US$3.10
17199,12.5%,18.1%,US$2.73
17201,12%,17.4%,US$2.87
17203,7.3%,10.6%,US$3.62
18001,12.2%,17.9%,US$2.79
18003,12.6%,17.2%,US$2.92
18005,11.6%,15.8%,US$2.84
18007,14%,19.8%,US$2.90
18009,13.8%,20.6%,US$2.65
18011,8.5%,10.5%,US$2.97
18013,10.6%,13.5%,US$2.83
18015,11.6%,16.2%,US$2.76
18017,12.9%,17.9%,US$2.42
18019,11.7%,15.8%,US$2.78
18021,13.7%,20.2%,US$2.51
18023,11.6%,15.6%,US$2.40
18025,14.9%,21.5%,US$2.68
18027,12%,15.6%,US$2.81
18029,11%,15.8%,US$2.65
18031,12.5%,17.3%,US$2.58
18033,11.3%,15.6%,US$2.67
18035,15.1%,20.9%,US$2.62
18037,10.4%,14%,US$2.72
18039,11.6%,15.1%,US$2.77
18041,15.9%,22.4%,US$2.70
18043,11.2%,15.3%,US$2.91
18045,13.1%,16.8%,US$2.88
18047,10.7%,14.6%,US$3.07
18049,13.1%,18.3%,US$2.86
18051,11.4%,15.6%,US$2.73
18053,15.9%,23.5%,US$2.57
18055,14%,19.7%,US$2.72
18057,7.7%,9.3%,US$3.37
18059,9.9%,13.5%,US$2.84
