,Year,State,Prophet ForecastValue Future,Prophet ForecastValue Validation,fi
245,2024-12-31,Idaho,9.436905571131035,0.0,
246,2025-12-31,Idaho,9.679553993185696,0.0,
247,2010-01-01,Illinois,14.896869114583497,14.944679607162099,
248,2011-01-01,Illinois,14.438160227178955,14.455907081154303,
249,2012-01-01,Illinois,14.213562925435903,14.182487865237723,
250,2013-01-01,Illinois,13.726801485953683,13.743057047026891,
251,2014-01-01,Illinois,13.034000893945393,13.038974319158662,
252,2015-01-01,Illinois,12.575291949361297,12.55015551841017,
253,2016-01-01,Illinois,12.350694591697643,12.276690028504724,
254,2017-01-01,Illinois,11.863933097540066,11.837212810565113,
255,2017-12-31,Illinois,0.0,12.374087474446714,
256,2018-01-01,Illinois,11.171132503520868,0.0,
257,2018-12-31,Illinois,0.0,12.743133177655146,
258,2019-01-01,Illinois,10.712423559662136,0.0,
259,2019-12-31,Illinois,13.779334795029552,13.323900775669555,
260,2020-12-31,Illinois,10.496945983010551,10.312350639944881,
261,2021-12-31,Illinois,10.738974716154694,10.468197873314052,
262,2022-12-31,Illinois,11.212691828954132,10.837243576519729,
263,2023-12-31,Illinois,11.91646640576522,11.418011174539181,
264,2024-12-31,Illinois,8.634077593733686,0.0,
265,2025-12-31,Illinois,8.876106326875881,0.0,
266,2010-01-01,Indiana,16.301785130013258,16.43656159218272,
267,2011-01-01,Indiana,15.772239446974378,15.800183063176283,
268,2012-01-01,Indiana,15.332019866351487,15.278429488097228,
269,2013-01-01,Indiana,14.981621510444239,15.100323773698168,
270,2014-01-01,Indiana,14.362767732900991,14.348798106090463,
271,2015-01-01,Indiana,13.833168565307094,13.71172526288833,
272,2016-01-01,Indiana,13.392895500197024,13.189277402508527,
273,2017-01-01,Indiana,13.04244351460116,13.011171348706993,
274,2017-12-31,Indiana,0.0,12.487912571694018,
275,2018-01-01,Indiana,12.423589735448859,0.0,
276,2018-12-31,Indiana,0.0,12.308308849544776,
277,2019-01-01,Indiana,11.893990567019816,0.0,
278,2019-12-31,Indiana,12.520829385628915,12.241957682506717,
279,2020-12-31,Indiana,11.10268003161968,10.692267642557603,
280,2021-12-31,Indiana,10.840625808027612,10.398760201769367,
281,2022-12-31,Indiana,10.667141076552756,10.219156479619185,
282,2023-12-31,Indiana,10.581651387007394,10.152805312583515,
283,2024-12-31,Indiana,9.163502032993561,0.0,
284,2025-12-31,Indiana,8.901447809400722,0.0,
285,2010-01-01,Iowa,13.491300833986752,12.91612163717756,
286,2011-01-01,Iowa,12.999958801745748,12.76999614469001,
287,2012-01-01,Iowa,12.66069144255274,12.739492027217675,
288,2013-01-01,Iowa,12.58916181871962,12.740344210788576,
289,2014-01-01,Iowa,11.945822990974946,12.478455720153871,
290,2015-01-01,Iowa,11.454187224483164,11.90040998877978,
291,2016-01-01,Iowa,11.114513299142132,11.437985582090018,
292,2017-01-01,Iowa,11.042305015157659,11.006046586731046,
293,2017-12-31,Iowa,0.0,10.859723027309101,
294,2018-01-01,Iowa,10.398370406450447,0.0,
295,2018-12-31,Iowa,0.0,10.743229456988487,
296,2019-01-01,Iowa,9.906350634177421,0.0,
